Kinds,line,score
AVscore,0,546
Linelen,0,11
KEP,0,0
Spacelen,0,2
complexity,0,0.0
AVscore,1,188
Linelen,1,15
KEP,1,66.66666666666666
Spacelen,1,3
complexity,1,26.666666666666668
AVscore,2,463
Linelen,2,18
KEP,2,71.42857142857143
Spacelen,2,4
complexity,2,16.666666666666664
AVscore,3,2046
Linelen,3,8
KEP,3,100
Spacelen,3,1
complexity,3,25.0
AVscore,4,776
Linelen,4,13
KEP,4,0
Spacelen,4,2
complexity,4,0.0
AVscore,5,663
Linelen,5,8
KEP,5,57.14285714285714
Spacelen,5,1
complexity,5,12.5
AVscore,6,905
Linelen,6,13
KEP,6,0
Spacelen,6,1
complexity,6,0.0
AVscore,7,568
Linelen,7,15
KEP,7,100
Spacelen,7,3
complexity,7,40.0
AVscore,8,354
Linelen,8,16
KEP,8,100
Spacelen,8,4
complexity,8,25.0
AVscore,9,2931
Linelen,9,3
KEP,9,100
Spacelen,9,0
complexity,9,33.33333333333333
AVscore,10,502
Linelen,10,24
KEP,10,0
Spacelen,10,3
complexity,10,0.0
AVscore,11,1071
Linelen,11,8
KEP,11,57.14285714285714
Spacelen,11,1
complexity,11,12.5
AVscore,12,1071
Linelen,12,10
KEP,12,50
Spacelen,12,2
complexity,12,20.0
AVscore,13,560
Linelen,13,15
KEP,13,61.53846153846154
Spacelen,13,2
complexity,13,20.0
AVscore,14,1940
Linelen,14,9
KEP,14,100
Spacelen,14,2
complexity,14,33.33333333333333
AVscore,15,0
Linelen,15,18
KEP,15,100
Spacelen,15,5
complexity,15,22.22222222222222
AVscore,16,662
Linelen,16,17
KEP,16,61.53846153846154
Spacelen,16,4
complexity,16,11.76470588235294
AVscore,17,2150
Linelen,17,9
KEP,17,100
Spacelen,17,2
complexity,17,33.33333333333333
AVscore,18,1915
Linelen,18,8
KEP,18,100
Spacelen,18,2
complexity,18,12.5
AVscore,19,1544
Linelen,19,11
KEP,19,100
Spacelen,19,3
complexity,19,18.181818181818183
AVscore,20,1103
Linelen,20,9
KEP,20,100
Spacelen,20,2
complexity,20,44.44444444444444
AVscore,21,1100
Linelen,21,11
KEP,21,80.0
Spacelen,21,1
complexity,21,0.0
AVscore,22,1377
Linelen,22,11
KEP,22,100
Spacelen,22,3
complexity,22,27.27272727272727
AVscore,23,0
Linelen,23,9
KEP,23,57.14285714285714
Spacelen,23,2
complexity,23,0.0
AVscore,24,1491
Linelen,24,8
KEP,24,100
Spacelen,24,2
complexity,24,25.0
AVscore,25,1257
Linelen,25,13
KEP,25,100
Spacelen,25,3
complexity,25,30.76923076923077
AVscore,26,1551
Linelen,26,10
KEP,26,100
Spacelen,26,2
complexity,26,30.0
AVscore,27,531
Linelen,27,9
KEP,27,57.14285714285714
Spacelen,27,2
complexity,27,0.0
AVscore,28,1041
Linelen,28,15
KEP,28,100
Spacelen,28,4
complexity,28,33.33333333333333
AVscore,29,922
Linelen,29,15
KEP,29,100
Spacelen,29,4
complexity,29,40.0
AVscore,30,717
Linelen,30,15
KEP,30,100
Spacelen,30,3
complexity,30,26.666666666666668
AVscore,31,1364
Linelen,31,10
KEP,31,50
Spacelen,31,2
complexity,31,20.0
AVscore,32,1323
Linelen,32,10
KEP,32,0
Spacelen,32,3
complexity,32,0.0
AVscore,33,776
Linelen,33,15
KEP,33,61.53846153846154
Spacelen,33,2
complexity,33,20.0
AVscore,34,1427
Linelen,34,9
KEP,34,100
Spacelen,34,2
complexity,34,33.33333333333333
AVscore,35,626
Linelen,35,18
KEP,35,100
Spacelen,35,5
complexity,35,22.22222222222222
AVscore,36,806
Linelen,36,17
KEP,36,61.53846153846154
Spacelen,36,4
complexity,36,11.76470588235294
AVscore,37,2122
Linelen,37,9
KEP,37,100
Spacelen,37,2
complexity,37,33.33333333333333
AVscore,38,2118
Linelen,38,8
KEP,38,100
Spacelen,38,2
complexity,38,12.5
AVscore,39,1607
Linelen,39,11
KEP,39,100
Spacelen,39,3
complexity,39,18.181818181818183
AVscore,40,303
Linelen,40,12
KEP,40,100
Spacelen,40,4
complexity,40,50.0
AVscore,41,1489
Linelen,41,9
KEP,41,100
Spacelen,41,2
complexity,41,33.33333333333333
AVscore,42,1667
Linelen,42,10
KEP,42,100
Spacelen,42,3
complexity,42,50.0
AVscore,43,1985
Linelen,43,9
KEP,43,100
Spacelen,43,2
complexity,43,11.11111111111111
AVscore,44,1861
Linelen,44,9
KEP,44,100
Spacelen,44,2
complexity,44,33.33333333333333
AVscore,45,319
Linelen,45,15
KEP,45,100
Spacelen,45,3
complexity,45,33.33333333333333
AVscore,46,1104
Linelen,46,7
KEP,46,100
Spacelen,46,1
complexity,46,57.14285714285714
AVscore,47,1195
Linelen,47,13
KEP,47,100
Spacelen,47,3
complexity,47,30.76923076923077
AVscore,48,1372
Linelen,48,7
KEP,48,100
Spacelen,48,1
complexity,48,57.14285714285714
AVscore,49,1319
Linelen,49,13
KEP,49,100
Spacelen,49,3
complexity,49,30.76923076923077
